data;id_venda;filial;vendedor;produto;cliente_nome;cliente_genero;forma_pagamento
2023-10-13 17:37:56.669003;57;Osasco;Juliana Costa;Notebook i5 8GB SSD 512GB;Elizabeth Kennedy;feminino;debito
2023-10-14 07:02:06.734697;58;São Bernardo do Campo;Carla Pereira;Smartphone 5G 128GB;Kathie Quach;feminino;credito
2023-10-14 07:16:18.302221;59;Santo André;Bruno Rocha;Notebook i5 8GB SSD 512GB;Jessie Shearer;feminino;credito
2023-10-14 12:06:47.242356;60;Santo André;Bruno Rocha;Notebook i5 8GB SSD 512GB;Patrick Coots;masculino;credito
2023-10-14 12:20:11.284524;61;Diadema;Fernanda Ribeiro;Caixa de Som Bluetooth;Autumn Ferguson;feminino;credito
2023-10-14 14:24:16.664486;62;Diadema;Rafael Alves;Caixa de Som Bluetooth;Jewel Harper;feminino;credito
2023-10-14 15:30:12.034411;63;Osasco;Lucas Lima;Caixa de Som Bluetooth;Velma Perez;feminino;credito
2023-10-14 17:17:19.446708;64;Guarulhos;Pedro Santos;Caixa de Som Bluetooth;Richard Rodriguez;masculino;debito
2023-10-14 17:26:17.513655;65;Santo André;Patrícia Gomes;Caixa de Som Bluetooth;Christen Huffman;feminino;debito
2023-10-15 07:17:01.738108;66;Osasco;Juliana Costa;Smartphone 5G 128GB;Sharon Carlson;feminino;credito
2023-10-15 09:34:54.718798;67;Osasco;Juliana Costa;Smartphone 5G 128GB;Frank Rosier;masculino;boleto
2023-10-15 10:01:18.197371;68;Diadema;Rafael Alves;Notebook i5 8GB SSD 512GB;Leandra Platt;feminino;debito
2023-10-15 12:12:09.860291;69;Diadema;Rafael Alves;Notebook i5 8GB SSD 512GB;Keith Chan;masculino;credito
2023-10-15 12:35:07.072547;70;Santo André;Bruno Rocha;Smartphone 5G 128GB;David Caldwell;masculino;boleto
2023-10-15 14:42:00.833626;71;Santo André;Bruno Rocha;Smartphone 5G 128GB;Alejandro Byfield;masculino;credito
2023-10-15 14:46:07.705662;72;Guarulhos;Ana Oliveira;Smartphone 5G 128GB;Kim Weiss;feminino;credito
2023-10-15 16:32:56.210022;73;Osasco;Juliana Costa;Notebook i5 8GB SSD 512GB;Al Martin;masculino;credito
2023-10-15 16:40:52.637148;74;São Bernardo do Campo;Carla Pereira;Caixa de Som Bluetooth;Deborah Horton;feminino;credito
2023-10-16 07:38:59.413260;75;Guarulhos;Pedro Santos;Caixa de Som Bluetooth;Sandra Tunstall;feminino;credito
2023-10-16 10:11:45.761293;76;São Paulo;João Silva;"Smart TV 50"" 4K";Debbie Heron;feminino;debito
2023-10-16 11:06:03.305614;77;São Bernardo do Campo;Marcos Fernandes;"Smart TV 50"" 4K";Frances Neighbors;feminino;credito
2023-10-16 13:20:56.092473;78;São Paulo;João Silva;Notebook i5 8GB SSD 512GB;Hubert Stuart;masculino;credito
2023-10-16 13:22:12.992110;79;Santo André;Patrícia Gomes;Smartphone 5G 128GB;Paul Nelson;masculino;credito
2023-10-16 14:12:22.030464;80;São Bernardo do Campo;Carla Pereira;"Smart TV 50"" 4K";Caleb Williams;masculino;credito
2023-10-16 15:21:02.903075;81;Diadema;Fernanda Ribeiro;Caixa de Som Bluetooth;Garry Foor;masculino;credito
2023-10-17 07:36:52.508097;82;São Bernardo do Campo;Carla Pereira;Smartphone 5G 128GB;Beth Manko;feminino;credito
2023-10-17 09:39:17.715418;83;São Paulo;João Silva;Caixa de Som Bluetooth;Kevin Leadbetter;masculino;debito
2023-10-17 10:10:52.892157;84;Guarulhos;Ana Oliveira;"Smart TV 50"" 4K";William Okeefe;masculino;credito
2023-10-17 10:20:11.407198;85;Guarulhos;Pedro Santos;Notebook i5 8GB SSD 512GB;Sandra Mcgraw;feminino;debito
2023-10-17 11:08:48.759072;86;Santo André;Bruno Rocha;Notebook i5 8GB SSD 512GB;Teresa Reale;feminino;boleto
2023-10-17 12:34:45.025381;87;Diadema;Fernanda Ribeiro;Smartphone 5G 128GB;Linda Vail;feminino;credito
2023-10-17 13:04:00.386526;88;Diadema;Fernanda Ribeiro;"Smart TV 50"" 4K";Fred Fabert;masculino;credito
2023-10-17 13:43:08.407333;89;Diadema;Rafael Alves;Notebook i5 8GB SSD 512GB;Lonnie Newton;feminino;credito
2023-10-17 15:48:08.083637;90;Osasco;Lucas Lima;"Smart TV 50"" 4K";Greg Peake;masculino;credito
2023-10-17 15:50:54.816439;91;Santo André;Patrícia Gomes;"Smart TV 50"" 4K";Susan Dunlow;feminino;pix
2023-10-17 16:08:08.620804;92;São Bernardo do Campo;Carla Pereira;Caixa de Som Bluetooth;Michael Cisneros;masculino;credito
2023-10-17 16:56:51.295596;93;São Paulo;João Silva;Caixa de Som Bluetooth;Carla Park;feminino;credito
2023-10-18 10:52:10.083545;94;Santo André;Patrícia Gomes;Smartphone 5G 128GB;Virginia Balderas;feminino;credito
2023-10-18 12:49:52.817728;95;Diadema;Rafael Alves;Smartphone 5G 128GB;Benjamin Ferenz;masculino;boleto
2023-10-18 13:20:58.667544;96;São Paulo;João Silva;Caixa de Som Bluetooth;Linda Ward;feminino;credito
2023-10-18 13:39:05.420848;97;Diadema;Rafael Alves;"Smart TV 50"" 4K";Vincent Braley;masculino;credito
2023-10-18 13:59:15.746260;98;Santo André;Patrícia Gomes;"Smart TV 50"" 4K";Ramona Poe;feminino;dinheiro
2023-10-18 14:10:51.064080;99;São Paulo;João Silva;Notebook i5 8GB SSD 512GB;Nicholas Sparaco;masculino;credito
2023-10-18 15:32:05.197558;100;São Paulo;João Silva;Notebook i5 8GB SSD 512GB;Christine Rutledge;feminino;credito
2023-10-18 17:26:14.194283;101;Guarulhos;Ana Oliveira;"Smart TV 50"" 4K";Melissa Seals;feminino;credito
2023-10-19 07:27:49.226852;102;Santo André;Bruno Rocha;Notebook i5 8GB SSD 512GB;Amy Dupree;feminino;credito
2023-10-19 10:21:16.671432;103;Diadema;Rafael Alves;Caixa de Som Bluetooth;Jennifer Kelly;feminino;credito
2023-10-19 12:15:11.284524;104;São Bernardo do Campo;Marcos Fernandes;Smartphone 5G 128GB;Thomas Young;masculino;credito
2023-10-19 13:21:59.317549;105;Osasco;Juliana Costa;Notebook i5 8GB SSD 512GB;Gloria Balde;feminino;credito
2023-10-20 07:07:11.216736;106;Santo André;Bruno Rocha;"Smart TV 50"" 4K";Joseph Meeks;masculino;credito
2023-10-20 09:16:13.065323;107;São Paulo;João Silva;"Smart TV 50"" 4K";Edward Coleman;masculino;credito
2023-10-20 09:22:44.844053;108;Osasco;Lucas Lima;"Smart TV 50"" 4K";Stephen Kister;masculino;credito
2023-10-20 12:56:59.993966;109;Diadema;Fernanda Ribeiro;Notebook i5 8GB SSD 512GB;Jeffrey Thomas;masculino;credito
2023-10-20 16:35:47.908122;110;Santo André;Patrícia Gomes;Notebook i5 8GB SSD 512GB;Virginia Croghan;feminino;credito
2023-10-20 17:03:44.777829;111;Osasco;Lucas Lima;Caixa de Som Bluetooth;Rhonda White;feminino;debito
2023-10-21 07:10:07.246126;112;Santo André;Patrícia Gomes;"Smart TV 50"" 4K";Linda Reeve;feminino;credito
2023-10-21 07:12:44.883336;113;Osasco;Lucas Lima;Smartphone 5G 128GB;Denise Walker;feminino;credito
2023-10-21 08:08:03.131797;114;Osasco;Lucas Lima;Smartphone 5G 128GB;Shirley Madsen;feminino;credito
2023-10-21 15:09:12.843045;115;Diadema;Fernanda Ribeiro;Notebook i5 8GB SSD 512GB;Lynn Alvarado;feminino;credito
2023-10-21 15:52:02.476959;116;São Bernardo do Campo;Marcos Fernandes;Caixa de Som Bluetooth;Phyllis Salters;feminino;credito
2023-10-21 17:10:47.579497;117;São Paulo;Maria Souza;Caixa de Som Bluetooth;Shane Trujillo;masculino;credito
2023-10-21 17:35:44.983613;118;Diadema;Fernanda Ribeiro;Caixa de Som Bluetooth;Santiago Robinson;masculino;credito
2023-10-22 07:41:48.864578;119;São Bernardo do Campo;Marcos Fernandes;Caixa de Som Bluetooth;Richard Smith;masculino;pix
2023-10-22 08:22:16.245575;120;Santo André;Patrícia Gomes;Smartphone 5G 128GB;Andrew Dupre;masculino;boleto
2023-10-22 09:14:08.501235;121;Osasco;Lucas Lima;Smartphone 5G 128GB;Mary Crisler;feminino;credito
2023-10-22 09:29:09.533906;122;São Bernardo do Campo;Marcos Fernandes;Caixa de Som Bluetooth;Michelle Demaria;feminino;credito
2023-10-22 09:41:55.979511;123;Diadema;Rafael Alves;Caixa de Som Bluetooth;Richard Bradley;masculino;credito
2023-10-22 13:24:51.858524;124;Santo André;Bruno Rocha;Smartphone 5G 128GB;John Miller;masculino;credito
2023-10-22 13:38:53.626420;125;Santo André;Bruno Rocha;Caixa de Som Bluetooth;Matthew Bethea;masculino;credito
2023-10-22 13:49:50.074388;126;Guarulhos;Ana Oliveira;Notebook i5 8GB SSD 512GB;Tommy Douglas;masculino;debito
2023-10-22 15:12:10.923320;127;São Paulo;João Silva;"Smart TV 50"" 4K";Sam Johnson;masculino;credito
2023-10-22 16:23:02.154730;128;Guarulhos;Pedro Santos;Notebook i5 8GB SSD 512GB;John Dretzka;masculino;credito
2023-10-23 07:20:01.738108;129;Diadema;Rafael Alves;Notebook i5 8GB SSD 512GB;Stanley Kilgore;masculino;credito
2023-10-23 07:20:12.085435;130;São Bernardo do Campo;Carla Pereira;"Smart TV 50"" 4K";Charles Clarkson;masculino;pix
2023-10-23 13:09:10.328177;131;São Bernardo do Campo;Carla Pereira;Notebook i5 8GB SSD 512GB;Hazel Brown;feminino;credito
2023-10-23 13:23:45.664494;132;Santo André;Patrícia Gomes;Smartphone 5G 128GB;Diane Blache;feminino;boleto
2023-10-23 14:01:44.625712;133;Osasco;Lucas Lima;"Smart TV 50"" 4K";Leah Myers;feminino;credito
2023-10-23 14:11:46.237833;134;Santo André;Bruno Rocha;Notebook i5 8GB SSD 512GB;Noelia Guajardo;feminino;credito
2023-10-24 07:03:01.054393;135;Santo André;Bruno Rocha;Caixa de Som Bluetooth;Rafael Browning;masculino;credito
2023-10-24 08:19:46.904015;136;São Paulo;João Silva;Caixa de Som Bluetooth;Charlotte Montoya;feminino;boleto
2023-10-24 09:29:12.305410;137;São Paulo;João Silva;Caixa de Som Bluetooth;Christopher Cantu;masculino;boleto
2023-10-24 10:01:18.580599;138;Santo André;Patrícia Gomes;Smartphone 5G 128GB;Joshua Santiago;masculino;credito
2023-10-24 11:06:08.077548;139;Guarulhos;Ana Oliveira;Smartphone 5G 128GB;Destiny Williams;feminino;dinheiro
2023-10-24 14:58:19.004545;140;Guarulhos;Pedro Santos;Smartphone 5G 128GB;Dave Booker;masculino;boleto
2023-10-24 15:20:46.091497;141;São Paulo;Maria Souza;"Smart TV 50"" 4K";Larry Taylor;masculino;credito
2023-10-24 16:42:47.126558;142;São Bernardo do Campo;Carla Pereira;Caixa de Som Bluetooth;Katharine Mitchell;feminino;credito
2023-10-25 11:01:06.905773;143;Guarulhos;Pedro Santos;Caixa de Som Bluetooth;Bennett Granger;masculino;credito
2023-10-25 11:42:04.585400;144;Santo André;Patrícia Gomes;Smartphone 5G 128GB;Corey Soto;masculino;credito
2023-10-25 12:01:03.073659;145;Diadema;Fernanda Ribeiro;"Smart TV 50"" 4K";Kenneth Gendel;masculino;credito
2023-10-25 12:09:48.693742;146;Santo André;Bruno Rocha;Smartphone 5G 128GB;Delphine Barnett;feminino;debito
2023-10-25 14:11:57.134106;147;Diadema;Fernanda Ribeiro;Notebook i5 8GB SSD 512GB;Drew Mayle;masculino;credito
2023-10-25 16:24:57.497138;148;Guarulhos;Pedro Santos;Notebook i5 8GB SSD 512GB;Brandon John;masculino;credito
2023-10-25 16:26:56.257297;149;São Paulo;João Silva;"Smart TV 50"" 4K";Linda Aguilar;feminino;credito
2023-10-26 06:59:46.912286;150;São Bernardo do Campo;Carla Pereira;Smartphone 5G 128GB;Shawn Johnson;masculino;pix
2023-10-26 07:34:47.358086;151;São Paulo;Maria Souza;Caixa de Som Bluetooth;Raymond Genova;masculino;debito
2023-10-26 08:05:08.335014;152;São Paulo;João Silva;Notebook i5 8GB SSD 512GB;Richard Sanchez;masculino;credito
2023-10-26 08:08:44.983613;153;São Paulo;Maria Souza;"Smart TV 50"" 4K";Michael Ballard;masculino;boleto
2023-10-26 09:08:13.717236;154;Diadema;Rafael Alves;Caixa de Som Bluetooth;Nathaniel Fultz;masculino;pix
2023-10-26 09:55:49.523099;155;Santo André;Patrícia Gomes;"Smart TV 50"" 4K";Kevin Welch;masculino;credito
2023-10-26 09:57:00.294940;156;Guarulhos;Ana Oliveira;Smartphone 5G 128GB;Matthew Stewart;masculino;credito
2023-10-26 14:06:44.560782;157;Diadema;Fernanda Ribeiro;Notebook i5 8GB SSD 512GB;Melissa Avans;feminino;credito
2023-10-26 14:25:58.907089;158;São Bernardo do Campo;Carla Pereira;Notebook i5 8GB SSD 512GB;Edward Porter;masculino;debito
2023-10-26 14:39:53.472839;159;Guarulhos;Ana Oliveira;Caixa de Som Bluetooth;Petra Tune;feminino;credito
2023-10-26 14:54:00.234858;160;São Bernardo do Campo;Carla Pereira;Notebook i5 8GB SSD 512GB;Amy Peacock;feminino;credito
2023-10-26 15:34:08.472802;161;Guarulhos;Pedro Santos;"Smart TV 50"" 4K";Rafael Crow;masculino;credito
2023-10-27 07:20:52.424691;162;São Bernardo do Campo;Marcos Fernandes;Smartphone 5G 128GB;Amado Pena;masculino;pix
2023-10-27 08:44:52.784842;163;Diadema;Fernanda Ribeiro;Smartphone 5G 128GB;Sarah Threatt;feminino;debito
2023-10-27 09:29:12.834956;164;Osasco;Lucas Lima;Caixa de Som Bluetooth;Ferdinand Reyes;masculino;credito
2023-10-27 10:43:59.654174;165;Diadema;Rafael Alves;Notebook i5 8GB SSD 512GB;Scott Ruiz;masculino;credito
2023-10-27 12:16:56.948030;166;São Paulo;João Silva;Caixa de Som Bluetooth;William Gustin;masculino;dinheiro
2023-10-27 12:19:01.852157;167;Guarulhos;Ana Oliveira;Caixa de Som Bluetooth;Brenda Precythe;feminino;debito
2023-10-27 16:52:58.008536;168;Guarulhos;Ana Oliveira;Smartphone 5G 128GB;Adolfo Getty;masculino;credito
2023-10-27 16:55:58.025861;169;Guarulhos;Pedro Santos;Caixa de Som Bluetooth;Amber Lee;feminino;dinheiro
2023-10-28 07:17:09.562908;170;São Bernardo do Campo;Carla Pereira;Caixa de Som Bluetooth;John Collins;masculino;credito
2023-10-28 09:59:44.309667;171;Diadema;Rafael Alves;Smartphone 5G 128GB;Carrie Dejardin;feminino;boleto
2023-10-28 11:37:49.875726;172;Santo André;Bruno Rocha;Notebook i5 8GB SSD 512GB;Emily Pacheco;feminino;credito
2023-10-28 14:02:52.349608;173;Diadema;Fernanda Ribeiro;Notebook i5 8GB SSD 512GB;Sharon Barbosa;feminino;pix
2023-10-28 14:28:52.139595;174;Osasco;Lucas Lima;Caixa de Som Bluetooth;Lillian Malsam;feminino;credito
2023-10-28 14:47:02.392766;175;Guarulhos;Pedro Santos;Caixa de Som Bluetooth;Timothy Mcclain;masculino;credito
2023-10-28 15:58:11.391463;176;Diadema;Fernanda Ribeiro;"Smart TV 50"" 4K";Phillip Mcpeak;masculino;credito
2023-10-28 16:49:11.367078;177;Osasco;Juliana Costa;Smartphone 5G 128GB;Felicia Oliver;feminino;boleto
2023-10-28 17:19:48.635271;178;Diadema;Rafael Alves;Caixa de Som Bluetooth;James Zimmerman;masculino;boleto
2023-10-28 17:37:09.350521;179;Guarulhos;Ana Oliveira;Notebook i5 8GB SSD 512GB;Andrea Burris;feminino;pix
2023-10-29 06:41:03.330200;180;São Bernardo do Campo;Carla Pereira;"Smart TV 50"" 4K";Lauren Peabody;feminino;dinheiro
2023-10-29 10:13:52.629020;181;Osasco;Juliana Costa;Notebook i5 8GB SSD 512GB;Charles Lay;masculino;credito
2023-10-29 10:46:44.370196;182;Diadema;Fernanda Ribeiro;Caixa de Som Bluetooth;Trevor Valentine;masculino;debito
2023-10-29 10:55:00.803449;183;Diadema;Rafael Alves;Caixa de Som Bluetooth;Rosario Gentles;feminino;credito
2023-10-29 14:13:15.581670;184;Diadema;Rafael Alves;"Smart TV 50"" 4K";William Glover;masculino;credito
2023-10-29 14:38:44.875250;185;Diadema;Rafael Alves;Smartphone 5G 128GB;Sadie Paul;feminino;credito
2023-10-29 16:10:03.334217;186;Diadema;Fernanda Ribeiro;Smartphone 5G 128GB;Edgar Ramsey;masculino;credito
2023-10-30 07:49:02.903075;187;Santo André;Bruno Rocha;Caixa de Som Bluetooth;Judith Shipman;feminino;credito
2023-10-30 08:30:02.614135;188;Santo André;Bruno Rocha;"Smart TV 50"" 4K";Anthony Moates;masculino;credito
2023-10-30 08:58:44.959778;189;São Paulo;João Silva;Smartphone 5G 128GB;Alma Hubbard;feminino;credito
2023-10-30 12:41:11.686954;190;São Paulo;João Silva;Caixa de Som Bluetooth;James Spann;masculino;credito
2023-10-30 14:34:56.969570;191;Osasco;Juliana Costa;"Smart TV 50"" 4K";Eldon Unch;masculino;credito
2023-10-30 15:22:09.010348;192;Osasco;Lucas Lima;Notebook i5 8GB SSD 512GB;Charles Browder;masculino;credito
2023-10-30 15:41:17.101501;193;São Bernardo do Campo;Carla Pereira;Notebook i5 8GB SSD 512GB;Matt Tiller;masculino;debito
2023-10-30 16:43:47.765609;194;Osasco;Juliana Costa;"Smart TV 50"" 4K";John Brown;masculino;credito
2023-10-30 16:45:21.816152;195;Diadema;Fernanda Ribeiro;"Smart TV 50"" 4K";Francis Marroquin;masculino;pix
2023-10-30 17:08:51.435087;196;Osasco;Juliana Costa;Caixa de Som Bluetooth;Paul Leo;masculino;credito
2023-10-31 08:42:07.705662;197;São Paulo;João Silva;Smartphone 5G 128GB;Stuart Lafosse;masculino;credito
2023-10-31 14:53:16.681111;198;São Paulo;Maria Souza;Notebook i5 8GB SSD 512GB;Brian Lopez;masculino;credito
2023-11-01 07:08:51.410532;199;São Paulo;João Silva;Notebook i5 8GB SSD 512GB;Daniel Allen;masculino;credito
2023-11-01 07:31:03.455229;200;Osasco;Lucas Lima;Notebook i5 8GB SSD 512GB;Robert Klinger;masculino;credito
2023-11-01 13:35:47.677122;201;Santo André;Bruno Rocha;Smartphone 5G 128GB;Stephen Rossi;masculino;credito
2023-11-01 14:02:52.933431;202;Santo André;Bruno Rocha;Smartphone 5G 128GB;Frank Gordon;masculino;boleto
2023-11-01 14:37:49.185233;203;São Bernardo do Campo;Carla Pereira;Smartphone 5G 128GB;James Solis;masculino;credito
2023-11-01 14:40:59.460635;204;Santo André;Bruno Rocha;"Smart TV 50"" 4K";Betty Mcintyre;feminino;pix
2023-11-01 17:11:00.232852;205;São Paulo;João Silva;Smartphone 5G 128GB;Joseph Serrano;masculino;credito
2023-11-02 08:54:47.998590;206;Osasco;Lucas Lima;Notebook i5 8GB SSD 512GB;Nathan Hernandez;masculino;credito
2023-11-02 09:01:46.912286;207;Osasco;Juliana Costa;Smartphone 5G 128GB;Donna Kelly;feminino;dinheiro
2023-11-02 09:49:15.581670;208;Santo André;Patrícia Gomes;Caixa de Som Bluetooth;William Anglea;masculino;credito
2023-11-02 11:34:03.405476;209;São Bernardo do Campo;Marcos Fernandes;Smartphone 5G 128GB;Casey Critchfield;masculino;dinheiro
2023-11-02 11:51:48.279341;210;Diadema;Rafael Alves;"Smart TV 50"" 4K";Nathan Feeney;masculino;credito
2023-11-02 16:42:47.480776;211;São Bernardo do Campo;Carla Pereira;Notebook i5 8GB SSD 512GB;Vanessa Harper;feminino;credito
2023-11-02 17:29:11.489268;212;Santo André;Bruno Rocha;Caixa de Som Bluetooth;Elizabeth Chandler;feminino;credito
2023-11-03 07:59:45.810375;213;São Bernardo do Campo;Marcos Fernandes;Notebook i5 8GB SSD 512GB;Concetta Sultemeier;feminino;pix
2023-11-03 08:15:16.003934;214;São Bernardo do Campo;Marcos Fernandes;Notebook i5 8GB SSD 512GB;Willis Adams;masculino;credito
2023-11-03 08:20:53.149349;215;Santo André;Bruno Rocha;Notebook i5 8GB SSD 512GB;Mack Gist;masculino;credito
2023-11-03 08:52:01.276791;216;São Bernardo do Campo;Carla Pereira;Caixa de Som Bluetooth;Matthew Dryer;masculino;pix
2023-11-03 09:04:13.849032;217;Diadema;Rafael Alves;"Smart TV 50"" 4K";Mary Doyle;feminino;debito
2023-11-03 09:21:08.003595;218;Santo André;Bruno Rocha;"Smart TV 50"" 4K";Nisha Santiago;feminino;dinheiro
2023-11-03 10:15:10.860600;219;Santo André;Bruno Rocha;Notebook i5 8GB SSD 512GB;Beatriz Elizondo;feminino;dinheiro
